1gram	Number
и	13336530
в	9792089
не	6140096
на	5324385
что	4052245
с	3890853
я	2145780
как	2123837
к	1981094
он	1926580
по	1890786
а	1859815
его	1826252
из	1502296
это	1415936
за	1362045
все	1353703
то	1333990
у	1332517
от	1329682
же	1297763
но	1294241
В	1282752
о	1253331
было	1131206
А	1098797
И	1095357
для	1045779
так	1008644
Я	975224
бы	948478
только	901551
был	828324
она	814598
ее	810631
меня	809473
еще	783654
Но	770262
мне	760219
или	759027
мы	746163
до	742879
их	740883
уже	722272
они	631422
Он	610357
когда	588551
ни	558800
ему	552072
чтобы	519731
время	499447
быть	491530
были	485324
ты	480336
очень	477467
была	477373
даже	467780
есть	460968
при	460246
ли	452121
во	450627
если	446550
вы	436526
Это	428235
себя	425717
Не	421258
него	418740
На	417392
со	417140
может	410219
нас	407663
того	403386
сказал	402431
под	392664
этого	384303
будет	382044
где	374512
чем	371112
въ	369128
без	358815
нет	354567
этом	349618
вот	340325
раз	335372
Да	331839
себе	331511
том	325159
можно	323952
да	322657
С	322347
них	319691
которые	316562
там	306857
теперь	306838
всех	305253
более	298681
который	296364
тем	294884
Как	285807
человек	284887
жизни	284751
этот	282398
после	280599
ничего	278092
Что	277614
Ну	270414
года	264288
потому	264277
своей	263652
лет	261922
надо	259576
Вот	256710
один	255443
Она	252735
всего	249856
тоже	247765
день	247478
У	246199
этой	243671
здесь	242492
им	242447
Так	241250
Мы	241200
потом	239578
ним	238950
больше	238768
эти	238518
об	238120
Все	237489
тут	237439
нам	237016
между	236304
через	235586
тогда	232396
несколько	231906
кто	226968
ней	226189
всегда	224130
ей	223849
два	220956
много	220161
свою	216983
вас	216446
дело	215544
сам	215033
над	209636
перед	209567
тебя	202127
Если	202100
жизнь	199318
По	198590
сейчас	195440
людей	195138
почти	194890
хотя	192371
г	190005
вам	189917
1	189335
своего	186702
такой	186293
своих	183885
нее	181342
тебе	181279
Вы	179397
2	178249
человека	177556
люди	177079
свои	176116
другой	172455
сказать	172373
тот	172110
просто	172036
также	170979
всем	170941
К	170578
которой	170372
совсем	169996
лишь	169564
Когда	168848
Ты	168750
хорошо	168123
говорит	166972
Они	166338
времени	166115
году	164645
мог	162286
ведь	161906
вдруг	160868
России	160575
глаза	160236
этих	159271
три	159076
которых	158878
